scope,bracket,n_break,break_rate,trade_net,trade_win,tp_hit,sl_hit,trade_sharpe,trade_maxdd,port_eq_net,port_eq_sharpe,port_eq_maxdd,port_pw_sharpe,port_pw_maxdd
OVERALL,TP2/SL-2%,32172,76.74069126732343,-0.15445507627117724,55.55762775083923,51.976874300634094,42.282108665920674,-2.4758359808517216,-95.50733829123368,-0.11852989322797308,-2.019202304112221,-81.71616722784418,-2.0154177836306446,-81.43942187055765
OVERALL,TP2/SL-3%,32172,76.74069126732343,-0.06703408646031683,65.27104314310581,61.23337063284844,30.79696630610469,-1.6543151708741146,-93.8184173069348,-0.05144242133438246,-1.1420004052604011,-73.64278461493268,-1.1468182345734765,-73.48163873726874
OVERALL,TP2/ORB-low,32172,76.74069126732343,-0.08718606178092692,61.053089643167965,58.327116747482286,37.405197065771475,-2.204560168353352,-96.55352995797132,-0.06690718649943903,-1.7332083213079938,-83.62641191172958,-1.71749065604757,-83.4756847926328
OVERALL,TP2/2x-range,32172,76.74069126732343,0.017222213240927375,70.08578888474449,66.60760910108169,24.440507273405444,-1.336929368927005,-92.64833390812322,0.013216445492620178,-0.7556718255032154,-66.17939103193929,-0.7433319874390131,-65.54652879436898
OVERALL,TP3/SL-2%,32172,76.74069126732343,-0.0472382548750469,47.8987939823449,42.05831157528285,49.2384682332463,-1.350874227552093,-88.78977956743445,-0.036250963333731165,-0.7569407901467557,-59.27124943543893,-0.7484025442006053,-58.574971914226936
OVERALL,TP3/SL-3%,32172,76.74069126732343,0.05891411648010014,57.515852293920176,50.47246052467984,36.92962824816611,-0.8188776394141842,-85.01411867477245,0.045211100240864936,-0.18291560406776164,-39.25120609106195,-0.18453506997507027,-39.1424787271631
OVERALL,TP3/ORB-low,32172,76.74069126732343,0.04281370652128452,53.68954370259853,48.912097476066144,43.67773218948154,-1.226939073540684,-91.18513920906065,0.032855534341596805,-0.6368689330192714,-62.23507613362278,-0.6317272589231103,-61.8719371589215
OVERALL,TP3/2x-range,32172,76.74069126732343,0.16656382302795636,62.84657466119607,56.25699365908243,28.81698371254507,-0.5475030772526485,-80.04574396662125,0.12782222919293498,0.09516665577135798,-38.28250454252928,0.1032507379260807,-38.81727150214472
regime=bear_trend,TP2/SL-2%,7859,81.67740594471005,-0.08547284780074588,56.432116045298386,55.846799847308816,42.4735971497646,-1.34970368511698,-91.69092994564201,-0.06981200487071938,-0.9387723758986776,-77.67543019024143,-0.9365675157805905,-77.61104029354368
regime=bear_trend,TP2/SL-3%,7859,81.67740594471005,0.017978915586850275,66.6624252449421,65.87352080417355,30.996309963099634,-1.0094872709651532,-91.60433686933781,0.014684711868328372,-0.5858776010403521,-73.20518697334946,-0.5830959328917485,-73.08473258742532
regime=bear_trend,TP2/ORB-low,7859,81.67740594471005,0.032922225766443214,65.77172668278408,65.25003181066293,33.27395342918946,-1.2509430818161784,-94.33173198108929,0.02689001998529172,-0.8097567349231723,-79.51375723538081,-0.8065801004828294,-79.41337988357829
